id,visit,count_exonic,count_intronic,count_intergenic,count_overlapping exon,percent_exonic,percent_intronic,percent_intergenic,percent_overlapping exon
38528403,visit1,16431348,20811513,1903125,1622579,41.97,53.16,4.86,4.14
38528403,visit2,21293670,20493485,1811515,1605128,48.84,47,4.15,3.68
38593845,visit1,19650907,28051604,2616700,1810118,39.05,55.75,5.2,3.6
38593845,visit2,18258452,34087850,3098912,2125344,32.93,61.48,5.59,3.83
39611892,visit1,21077572,28313474,2340277,2014751,40.74,54.73,4.52,3.89
39611892,visit2,16334829,22430268,1819455,1551587,40.25,55.27,4.48,3.82
44901514,visit1,10004223,24033354,7430528,1121126,24.13,57.96,17.92,2.7
44901514,visit2,21182555,26198302,2040063,1850292,42.86,53.01,4.13,3.74
pool.a_plate26,control,25786547,53090752,16821526,2547607,26.95,55.48,17.58,2.66
pool.b_plate26,control,24467844,30838580,2506685,2141872,42.32,53.34,4.34,3.7
10175504,vist_1,43055746,49797513,3868990,3949133,44.51,51.49,4,4.08
10526631,vist_1,13461832,20358250,1651031,1534763,37.95,57.39,4.65,4.33
10706166,vist_2,14513986,21709770,1730004,1702908,38.24,57.2,4.56,4.49
10746170,vist_1,21809649,31131660,2845566,2328955,39.09,55.8,5.1,4.17
10769289,vist_1,23214253,32366555,2502945,2583750,39.97,55.72,4.31,4.45
10939981,vist_2,14388992,24367029,2416160,1820441,34.95,59.18,5.87,4.42
10992501,vist_1,18741423,24373645,1942138,1888997,41.59,54.09,4.31,4.19
11397718,vist_1,21504861,31861220,2428878,2463578,38.54,57.1,4.35,4.42
11423902,vist_1,25306258,36839781,2682888,2777529,39.04,56.83,4.14,4.28
11476752,vist_1,18769271,27590131,2244069,2087875,38.62,56.77,4.62,4.3
11733961,vist_1,22781299,28633483,2216934,1979456,42.48,53.39,4.13,3.69
11792116,vist_1,11702595,14841926,1195779,1149387,42.19,53.5,4.31,4.14
11927571,vist_2,8450632,9852203,763100,813556,44.32,51.67,4,4.27
12167318,vist_1,19494934,22587021,2043842,1883369,44.18,51.19,4.63,4.27
12497988,vist_1,17460728,20902456,1685277,1799028,43.6,52.19,4.21,4.49
12647871,vist_1,17210621,20033181,1752990,1647290,44.13,51.37,4.5,4.22
12694832,vist_2,18018428,24797148,1930036,1756826,40.27,55.42,4.31,3.93
12883138,vist_1,16945189,22972693,1794017,1741899,40.62,55.07,4.3,4.18
13258124,vist_1,17039121,25635555,2126593,1957033,38.03,57.22,4.75,4.37
13656962,vist_1,24237360,23654461,2213768,2185089,48.37,47.21,4.42,4.36
13740311,vist_1,20513804,29142492,2205722,2077290,39.55,56.19,4.25,4.01
13754031,vist_1,20431130,24325140,2204058,2052781,43.51,51.8,4.69,4.37
13791207,vist_1,14211340,24890058,2475076,1841547,34.18,59.87,5.95,4.43
14361125,vist_1,18157745,26945041,2141181,1958864,38.43,57.03,4.53,4.15
14903074,vist_1,12992259,20354850,3498323,1417107,35.26,55.24,9.49,3.85
15720618,vist_1,21810828,36514398,2917564,2600815,35.61,59.62,4.76,4.25
16247158,vist_1,19050768,30191545,2318096,2271222,36.95,58.56,4.5,4.4
17552366,vist_2,17369973,23854828,1894046,1794593,40.28,55.32,4.39,4.16
17673963,vist_1,1773995,27897272,19300231,644032,3.62,56.97,39.41,1.32
18191247,vist_1,17131984,30482514,2795737,2227855,33.99,60.47,5.55,4.42
18270389,vist_1,14939551,18040681,1502615,1565333,43.32,52.32,4.36,4.54
19456227,vist_1,19337888,30703506,2397250,2263452,36.88,58.55,4.57,4.32
19672740,vist_1,20606842,34217049,2846321,2491621,35.73,59.33,4.94,4.32
19911304,vist_1,18846086,27760790,3527512,2023798,37.59,55.37,7.04,4.04
20232419,vist_1,14801242,22915850,1781143,1709839,37.47,58.02,4.51,4.33
21148298,vist_2,11504392,19961810,1870077,1398660,34.51,59.88,5.61,4.2
22283618,vist_2,25721678,33692626,2846140,2450173,41.31,54.12,4.57,3.94
